Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_286,1.0,0.68149,0.15436,1.0,0.53087,0.08541,1.0,0.99993,0.99995,0.0,20.31363,38.34057
BraTS20_Training_287,0.88025,0.88314,0.84307,0.82864,0.84779,0.77561,0.99983,0.9996,0.99979,3.74166,22.75961,5.09902
BraTS20_Training_288,0.77996,0.87873,0.72894,0.81425,0.86334,0.81798,0.99944,0.99912,0.99822,2.82843,66.10749,7.87401
BraTS20_Training_289,0.0,0.93683,0.72673,0.0,0.96016,0.95344,0.99992,0.99803,0.99681,373.12866,3.16228,8.60232
BraTS20_Training_290,0.73247,0.88369,0.26479,0.65851,0.87034,0.59136,0.99994,0.99748,0.99796,18.35756,5.47723,16.76305
BraTS20_Training_291,0.0273,0.94241,0.81381,0.06349,0.91214,0.90529,0.99995,0.99941,0.99794,25.55973,2.44949,6.40312
BraTS20_Training_292,0.61805,0.90235,0.84045,0.50092,0.85685,0.77376,0.99995,0.99963,0.99959,16.17559,3.16228,7.0
BraTS20_Training_293,0.70857,0.73634,0.5077,0.68591,0.60493,0.40995,0.99889,0.99868,0.99722,12.4499,8.544,11.74734
BraTS20_Training_294,0.0,0.87546,0.68227,0.0,0.8418,0.5529,0.99997,0.99924,0.99972,373.12866,4.58258,5.83095
BraTS20_Training_295,0.0,0.8504,0.75608,0.0,0.93026,0.77247,1.0,0.99927,0.99967,373.12866,4.47214,3.16228
BraTS20_Training_296,0.63679,0.94322,0.80122,0.59816,0.98683,0.69711,0.99946,0.99805,0.99956,5.38516,2.44949,6.08276
BraTS20_Training_297,0.0,0.67571,0.72798,0.0,0.57947,0.61006,0.99997,0.99885,0.99982,373.12866,37.65634,4.58258
BraTS20_Training_298,0.0,0.69696,0.035,0.0,0.60057,0.02102,1.0,0.99937,0.99971,80.14832,54.71746,81.42972
BraTS20_Training_299,0.46154,0.85924,0.80985,0.34143,0.76993,0.68337,0.99999,0.99972,0.99996,21.9438,6.48074,6.08276
BraTS20_Training_300,0.56679,0.86452,0.60733,0.79758,0.86098,0.45907,0.99988,0.99859,0.9996,35.59494,6.0,9.05539
BraTS20_Training_301,0.46758,0.85008,0.66794,0.40305,0.82186,0.6989,0.99986,0.99779,0.99745,10.81665,6.08276,9.48683
BraTS20_Training_302,0.60758,0.72076,0.5827,0.93386,0.56536,0.4115,0.99972,0.99996,0.99999,3.0,10.19804,12.96148
BraTS20_Training_303,0.67058,0.70739,0.51841,0.56118,0.62305,0.3836,0.99998,0.99944,0.99973,5.76184,11.87434,16.67333
BraTS20_Training_304,1.0,0.84985,0.20906,1.0,0.81752,0.11734,1.0,0.99963,0.99998,0.0,3.74166,13.63818
BraTS20_Training_305,0.0,0.79886,0.78541,0.0,0.69189,0.71609,0.99976,0.99943,0.99913,373.12866,7.34847,7.0
BraTS20_Training_306,0.0,0.82408,0.51617,0.0,0.71739,0.36729,0.99994,0.99951,0.99939,373.12866,10.3995,21.42428
BraTS20_Training_307,0.0,0.89297,0.84044,0.0,0.83637,0.75504,0.99999,0.99938,0.99956,26.29894,5.74456,4.47214
BraTS20_Training_308,0.53967,0.9016,0.68626,0.86294,0.85069,0.53546,0.99894,0.99916,0.99956,5.91608,7.34847,13.63818
BraTS20_Training_309,0.45345,0.81257,0.61766,0.4671,0.7065,0.44985,0.99987,0.99942,0.99992,24.67792,8.24621,11.56069
BraTS20_Training_310,0.0,0.91261,0.53253,0.0,0.85059,0.36433,0.99999,0.99973,0.99996,373.12866,4.58258,11.57584
BraTS20_Training_311,0.58303,0.73325,0.18194,0.87778,0.65937,0.10646,0.99993,0.99953,0.99995,67.15466,46.18441,65.16402
BraTS20_Training_312,0.0,0.89495,0.69775,0.0,0.95217,0.62253,0.99968,0.99682,0.99881,373.12866,5.38516,10.19804
BraTS20_Training_313,0.4807,0.91316,0.87915,0.7419,0.9888,0.9559,0.99986,0.99655,0.99793,11.62317,4.69042,4.69042
BraTS20_Training_314,0.63167,0.75248,0.51942,0.90569,0.77515,0.89477,0.9997,0.99912,0.99939,5.0,8.12404,6.0
BraTS20_Training_315,0.01572,0.76501,0.77033,0.44037,0.94072,0.96851,0.99933,0.998,0.99862,98.83825,68.97826,69.09414
BraTS20_Training_316,0.14694,0.85132,0.54687,0.90915,0.79706,0.45818,0.99814,0.99799,0.99771,21.2132,6.0,14.40483
BraTS20_Training_317,0.21823,0.58867,0.20877,0.1281,0.45944,0.12894,0.99998,0.99976,0.99992,6.7082,12.08305,8.60232
BraTS20_Training_318,0.43093,0.92294,0.78336,0.40108,0.89299,0.67445,0.9999,0.99898,0.99913,18.80026,5.0,10.04988
BraTS20_Training_319,0.0,0.91342,0.91064,0.0,0.96149,0.92957,0.99981,0.99809,0.99894,373.12866,14.86607,5.0
BraTS20_Training_320,0.73835,0.70309,0.79536,0.81874,0.56945,0.8059,0.99963,0.99979,0.99974,3.74166,13.19091,3.74166
BraTS20_Training_321,1.0,0.80519,0.73453,1.0,0.86818,0.84443,1.0,0.99788,0.99854,0.0,18.86796,11.57584
BraTS20_Training_322,0.0,0.85042,0.91922,0.0,0.97777,0.89234,0.99999,0.99682,0.99966,36.34692,10.81665,3.0
BraTS20_Training_323,0.06841,0.89717,0.72318,0.03658,0.84737,0.58787,0.99998,0.99889,0.99955,18.05547,5.65685,11.18034
BraTS20_Training_324,1.0,0.69308,0.0,1.0,0.53802,0.0,1.0,0.99989,1.0,0.0,7.14143,45.45327
BraTS20_Training_325,0.0,0.14146,0.0,0.0,0.14272,0.0,1.0,0.99832,0.99997,50.5559,62.7495,28.73064
BraTS20_Training_326,0.27722,0.88624,0.54727,0.72278,0.90122,0.37875,0.99953,0.99811,0.99992,19.26006,17.91647,13.49074
BraTS20_Training_327,0.659,0.85929,0.49115,0.53302,0.76955,0.32876,0.99984,0.99955,0.99983,9.40741,13.60147,13.15295
BraTS20_Training_328,0.53402,0.87411,0.44186,0.75,0.80082,0.29166,0.99988,0.99867,0.99938,31.48014,8.77496,14.14214
BraTS20_Training_329,0.0,0.81969,0.2491,0.0,0.86823,0.14263,1.0,0.99822,0.99999,373.12866,57.72651,14.17745
BraTS20_Training_330,0.0,0.86942,0.78053,0.0,0.95047,0.68907,0.99995,0.99857,0.99972,373.12866,7.07107,9.05539
BraTS20_Training_331,0.68882,0.76154,0.5464,0.7377,0.96795,0.6941,0.9999,0.99678,0.99898,11.0,14.59452,12.03328
BraTS20_Training_332,0.82234,0.92006,0.17382,0.86262,0.9836,0.91885,0.99995,0.99902,0.99771,2.23607,28.58496,27.01111
BraTS20_Training_333,0.64028,0.95143,0.15377,0.53124,0.93208,0.08342,0.99987,0.99941,0.99997,12.51795,3.16228,34.0294
BraTS20_Training_334,0.87792,0.93585,0.81936,0.91137,0.9182,0.89302,0.99978,0.99924,0.99959,2.23607,4.0,15.13275
BraTS20_Training_335,0.0,0.90732,0.29309,0.0,0.86875,0.17372,0.9999,0.99929,0.99992,373.12866,4.47214,11.31371
