Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_343,0.89948,0.93862,0.93347,0.89136,0.93995,0.92877,0.99966,0.99887,0.99958,1.41421,3.16228,3.31662
BraTS20_Training_344,0.70866,0.91428,0.84356,0.58712,0.95666,0.88933,0.99993,0.99878,0.99952,7.0,2.82843,8.24621
BraTS20_Training_345,0.85291,0.79104,0.27677,0.78559,0.90448,0.78397,0.99996,0.99585,0.99732,6.48074,9.8995,22.67157
BraTS20_Training_346,0.88248,0.93013,0.93965,0.84127,0.94426,0.95357,0.99979,0.99924,0.99942,1.41421,4.12311,4.12311
BraTS20_Training_347,0.94603,0.91565,0.80386,0.9619,0.98338,0.98568,0.9998,0.99792,0.99829,1.0,4.47214,29.15476
BraTS20_Training_348,0.89101,0.95488,0.94404,0.83435,0.97824,0.96717,0.99981,0.99932,0.99945,1.41421,2.82843,2.82843
BraTS20_Training_349,0.89836,0.95155,0.95113,0.86882,0.9858,0.94727,0.99957,0.99829,0.99946,1.73205,2.23607,2.44949
BraTS20_Training_350,0.94582,0.93234,0.77815,0.94925,0.98316,0.98226,0.99975,0.99846,0.99698,1.41421,9.27362,31.01129
BraTS20_Training_351,0.86952,0.91753,0.8398,0.78653,0.91324,0.81318,0.99996,0.99913,0.99973,3.16228,2.23607,5.74456
BraTS20_Training_352,0.76508,0.93936,0.52514,0.63015,0.93023,0.70276,0.99998,0.99971,0.99897,3.16228,7.14143,12.80625
BraTS20_Training_353,0.78354,0.91299,0.85614,0.65154,0.87129,0.78722,0.99999,0.9998,0.99992,3.16228,2.82843,4.12311
BraTS20_Training_354,0.88093,0.92701,0.90844,0.8075,0.97039,0.96574,0.99982,0.9976,0.99822,1.41421,2.82843,10.35855
BraTS20_Training_355,0.91881,0.93592,0.94608,0.89293,0.96224,0.9439,0.99966,0.99852,0.99946,1.73205,3.0,3.0
BraTS20_Training_356,0.8789,0.82123,0.90818,0.88792,0.80054,0.93995,0.9997,0.99929,0.99955,2.23607,7.0,3.74166
BraTS20_Training_357,0.55552,0.89038,0.79202,0.39585,0.90036,0.69994,0.99995,0.99918,0.99981,11.04536,3.16228,7.0
BraTS20_Training_358,0.94438,0.92032,0.73615,0.94635,0.97788,0.96765,0.99992,0.9982,0.99884,1.0,2.23607,21.61018
BraTS20_Training_359,0.94376,0.93308,0.96438,0.94533,0.98887,0.98538,0.99979,0.99875,0.99966,1.0,2.23607,2.0
BraTS20_Training_360,0.907,0.93142,0.9424,0.86564,0.97471,0.92187,0.99979,0.99868,0.99978,2.23607,3.0,3.0
BraTS20_Training_361,0.01177,0.93856,0.01807,0.00709,0.9698,0.17376,0.99999,0.99914,0.99344,29.12731,3.4641,28.35578
