Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_170,0.78224,0.92271,0.90939,0.94707,0.92681,0.91259,0.9993,0.99907,0.99973,2.23607,3.60555,2.82843
BraTS20_Training_171,0.60244,0.77684,0.86132,0.68898,0.68971,0.88335,0.99886,0.99857,0.99867,3.74166,8.24621,5.38516
BraTS20_Training_172,0.81695,0.81254,0.88748,0.7972,0.76663,0.85176,0.99984,0.99949,0.99991,2.23607,5.91182,2.44949
BraTS20_Training_173,0.72145,0.7684,0.72976,0.68478,0.62977,0.57961,0.99967,0.99986,0.99996,5.09902,8.24621,8.80336
BraTS20_Training_174,0.84653,0.92073,0.88539,0.81614,0.96797,0.85102,0.99968,0.99855,0.99977,3.16228,3.0,3.74166
BraTS20_Training_175,0.85282,0.88413,0.90449,0.84611,0.82272,0.88929,0.99877,0.99918,0.99917,3.0,4.3589,4.24264
BraTS20_Training_176,0.51363,0.80922,0.59075,0.98313,0.72428,0.43321,0.9992,0.99921,0.99982,7.18303,33.18132,12.20656
BraTS20_Training_177,0.53043,0.72083,0.52978,0.81099,0.65527,0.72039,0.99986,0.99976,0.99986,7.87401,5.47723,7.81025
BraTS20_Training_178,0.8309,0.92714,0.9142,0.75676,0.95277,0.85734,0.99966,0.99892,0.99988,2.82843,3.0,3.0
BraTS20_Training_179,0.83183,0.88105,0.88606,0.82187,0.95545,0.90827,0.99939,0.99839,0.99942,4.47214,4.47214,3.74166
BraTS20_Training_180,0.85106,0.79958,0.87996,0.8388,0.8552,0.88225,0.99905,0.99473,0.9989,3.60555,44.59821,16.65082
BraTS20_Training_181,0.84581,0.69178,0.87299,0.75029,0.55279,0.78187,0.99995,0.99966,0.99998,2.44949,8.60232,2.44949
BraTS20_Training_182,0.80118,0.69272,0.82233,0.81421,0.60481,0.82324,0.99978,0.99933,0.99977,4.47214,49.60645,5.83095
BraTS20_Training_183,0.89866,0.92479,0.94049,0.88396,0.91854,0.9202,0.99953,0.99855,0.99976,2.23607,4.12311,2.0
BraTS20_Training_184,0.83711,0.81072,0.91521,0.90177,0.8166,0.96276,0.99924,0.99724,0.99932,2.0,5.0,7.66153
BraTS20_Training_185,0.81344,0.82374,0.90123,0.89352,0.76251,0.924,0.99893,0.99911,0.99929,2.0,5.38516,3.0
