Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_299,0.87377,0.89879,0.71092,0.94537,0.83046,0.55181,0.99998,0.99978,0.99999,1.0,7.87401,7.87401
BraTS20_Training_300,0.77872,0.89307,0.40646,0.98974,0.82526,0.25545,0.99993,0.99975,0.99999,7.95904,4.69042,13.60147
BraTS20_Training_301,0.67848,0.90017,0.71962,0.91428,0.86401,0.57506,0.99966,0.9989,0.99985,3.0,4.89898,7.87401
BraTS20_Training_302,0.75401,0.80784,0.62841,0.99954,0.67849,0.45858,0.99984,0.99998,0.99999,2.0,8.60232,12.68858
BraTS20_Training_303,0.73127,0.67088,0.27265,0.929,0.52255,0.15938,0.99991,0.99986,0.99997,6.87259,13.63818,26.32489
BraTS20_Training_304,0.0,0.88971,0.1947,0.0,0.8581,0.10797,1.0,0.99975,1.0,373.12866,3.0,14.4222
BraTS20_Training_305,0.0,0.88724,0.7708,0.0,0.81176,0.65055,0.99995,0.99974,0.9997,373.12866,4.58258,6.16441
BraTS20_Training_306,0.0,0.89296,0.23803,0.0,0.82092,0.13564,0.99999,0.99963,0.99996,373.12866,9.0,34.21988
BraTS20_Training_307,0.0,0.91784,0.7124,0.0,0.85866,0.55499,0.99999,0.99979,0.99997,22.32916,4.58258,7.28011
BraTS20_Training_308,0.66029,0.89655,0.61468,0.98614,0.83012,0.44715,0.99921,0.9995,0.99986,4.3589,8.06226,11.57584
BraTS20_Training_309,0.62315,0.89129,0.67518,0.76569,0.82569,0.51212,0.99985,0.99951,0.99994,16.04057,5.09902,10.04988
BraTS20_Training_310,0.0,0.90796,0.21379,0.0,0.84095,0.1197,1.0,0.99977,1.0,373.12866,12.84523,22.85169
BraTS20_Training_311,0.85788,0.883,0.16598,0.92778,0.8758,0.09063,0.99999,0.99963,1.0,1.0,3.74166,20.14944
BraTS20_Training_312,0.0,0.92467,0.45827,0.0,0.94925,0.30357,0.99995,0.99812,0.99984,373.12866,4.0,19.10497
BraTS20_Training_313,0.61003,0.95362,0.73732,0.91536,0.97471,0.58965,0.99988,0.99864,0.99991,24.98201,3.0,7.48331
BraTS20_Training_314,0.81705,0.83553,0.83023,0.99573,0.90594,0.96912,0.99986,0.99919,0.99986,1.41421,4.12311,2.23607
BraTS20_Training_315,0.8417,0.92078,0.83834,1.0,0.94197,0.73797,1.0,0.9996,0.99994,2.23607,48.06402,4.47214
BraTS20_Training_316,0.59706,0.90482,0.48807,0.99937,0.86071,0.32777,0.99976,0.99888,0.99984,9.09939,4.24264,16.76305
BraTS20_Training_317,0.74687,0.89014,0.83969,0.99078,0.87942,0.90429,0.99972,0.99978,0.99982,2.44949,3.0,2.23607
BraTS20_Training_318,0.64023,0.93954,0.72314,0.97035,0.89593,0.56948,0.99978,0.99973,0.9999,3.74166,5.0,10.63015
BraTS20_Training_319,0.0,0.94884,0.84915,0.0,0.93645,0.74073,0.99998,0.9995,0.99996,373.12866,2.23607,5.74456
BraTS20_Training_320,0.75608,0.82956,0.83445,0.99892,0.73702,0.99274,0.9994,0.99983,0.99955,2.82843,12.8841,2.44949
BraTS20_Training_321,1.0,0.87033,0.21078,1.0,0.779,0.11834,1.0,0.99992,0.99999,0.0,6.40312,15.26434
